test/water/frame_00002.jpg: true 1, predicted 0
test/water/frame_00003.jpg: true 1, predicted 0
test/water/frame_00004.jpg: true 1, predicted 0
test/water/frame_00005.jpg: true 1, predicted 0
test/water/frame_00006.jpg: true 1, predicted 0
test/water/frame_00007.jpg: true 1, predicted 0
test/water/frame_00008.jpg: true 1, predicted 0
test/water/frame_00009.jpg: true 1, predicted 0
test/water/frame_00010.jpg: true 1, predicted 0
test/water/frame_00011.jpg: true 1, predicted 0
test/water/frame_00012.jpg: true 1, predicted 0
test/water/frame_00013.jpg: true 1, predicted 0
test/water/frame_00014.jpg: true 1, predicted 0
test/water/frame_00015.jpg: true 1, predicted 0
test/water/frame_00016.jpg: true 1, predicted 0
test/water/frame_00017.jpg: true 1, predicted 0
test/water/frame_00018.jpg: true 1, predicted 0
test/water/frame_00019.jpg: true 1, predicted 0
test/water/frame_00020.jpg: true 1, predicted 0
test/water/frame_00021.jpg: true 1, predicted 0
test/water/frame_00022.jpg: true 1, predicted 0
test/water/frame_00023.jpg: true 1, predicted 0
test/water/frame_00024.jpg: true 1, predicted 0
test/water/frame_00025.jpg: true 1, predicted 0
test/water/frame_00026.jpg: true 1, predicted 0
test/water/frame_00027.jpg: true 1, predicted 0
test/water/frame_00028.jpg: true 1, predicted 0
test/water/frame_00029.jpg: true 1, predicted 0
test/water/frame_00030.jpg: true 1, predicted 0
test/water/frame_00031.jpg: true 1, predicted 0
test/water/frame_00032.jpg: true 1, predicted 0
test/water/frame_00033.jpg: true 1, predicted 0
test/water/frame_00034.jpg: true 1, predicted 0
test/water/frame_00035.jpg: true 1, predicted 0
test/water/frame_00036.jpg: true 1, predicted 0
test/water/frame_00037.jpg: true 1, predicted 0
test/water/frame_00038.jpg: true 1, predicted 0
test/water/frame_00039.jpg: true 1, predicted 0
test/water/frame_00040.jpg: true 1, predicted 0
test/water/frame_00041.jpg: true 1, predicted 0
test/water/frame_00042.jpg: true 1, predicted 0
test/water/frame_00043.jpg: true 1, predicted 0
test/water/frame_00044.jpg: true 1, predicted 0
test/water/frame_00045.jpg: true 1, predicted 0
test/water/frame_00046.jpg: true 1, predicted 0
test/water/frame_00047.jpg: true 1, predicted 0
test/water/frame_00048.jpg: true 1, predicted 0
test/water/frame_00049.jpg: true 1, predicted 0
test/water/frame_00050.jpg: true 1, predicted 0
test/water/frame_00051.jpg: true 1, predicted 0
test/water/frame_00052.jpg: true 1, predicted 0
test/water/frame_00072.jpg: true 1, predicted 0
test/water/frame_00073.jpg: true 1, predicted 0
test/water/frame_00074.jpg: true 1, predicted 0
test/water/frame_00075.jpg: true 1, predicted 0
test/water/frame_00076.jpg: true 1, predicted 0
test/water/frame_00077.jpg: true 1, predicted 0
test/water/frame_00078.jpg: true 1, predicted 0
test/water/frame_00079.jpg: true 1, predicted 0
test/water/frame_00080.jpg: true 1, predicted 0
test/water/frame_00081.jpg: true 1, predicted 0
test/water/frame_00082.jpg: true 1, predicted 0
test/water/frame_00083.jpg: true 1, predicted 0
test/water/frame_00084.jpg: true 1, predicted 0
